Protein,+s,-s,Q60
CHEMBL339,1597,2416,7.04
CHEMBL2954,873,1313,7.62
CHEMBL4338,98,148,7.46
CHEMBL2758,115,181,4.92
CHEMBL1835,297,449,7.39
CHEMBL2858,258,390,8.74
CHEMBL232,489,749,7.1
CHEMBL229,560,843,8.11
CHEMBL285,314,472,6.66
CHEMBL2967,94,140,5.09
CHEMBL219,998,1516,7.42
CHEMBL3974,301,452,7.27
CHEMBL3247,308,465,7.6
CHEMBL3891,257,395,6.89
CHEMBL3535,191,296,7.5
CHEMBL2337,401,601,7.4
CHEMBL4937,186,283,7.73
CHEMBL2828,213,320,7.44
CHEMBL4482,127,194,6.66
CHEMBL3116,357,542,7.29
CHEMBL4203,108,162,6.9
CHEMBL3906,129,194,7.58
CHEMBL4247,734,1100,7.59
CHEMBL4376,88,134,6.42
CHEMBL5543,165,253,7.0
CHEMBL4225,287,542,8.4
CHEMBL3998,100,151,6.68
CHEMBL299,435,657,7.08
CHEMBL4071,84,127,6.19
CHEMBL265,285,433,6.55
CHEMBL3766,169,256,6.52
CHEMBL3996,183,278,7.4
CHEMBL2568,209,315,6.65
CHEMBL3949,145,230,6.4
CHEMBL4631,94,144,6.0
CHEMBL250,151,230,7.23
CHEMBL4552,371,560,8.22
CHEMBL3663,107,160,6.62
CHEMBL2996,281,434,7.09
CHEMBL249,980,1473,8.42
CHEMBL3501,240,364,6.51
CHEMBL2625,135,202,7.58
CHEMBL1944,201,301,7.55
CHEMBL2041,315,480,7.0
CHEMBL1790,234,352,7.63
CHEMBL4051,196,306,6.1
CHEMBL4029,113,169,6.67
CHEMBL2185,716,1097,7.3
CHEMBL3717,1414,2121,7.63
CHEMBL1957,823,1552,7.3
CHEMBL2002,239,362,6.92
CHEMBL4791,141,211,6.76
CHEMBL3775,115,179,5.2
CHEMBL1785,393,592,6.24
CHEMBL2000,461,698,7.3
CHEMBL1824,720,1094,7.0
CHEMBL4355,109,167,6.89
CHEMBL4608,263,398,6.41
CHEMBL1945,410,620,8.0
CHEMBL4633,174,260,7.18
CHEMBL3437,98,147,6.69
CHEMBL4848,81,122,5.43
CHEMBL4235,1302,1974,7.52
CHEMBL2034,894,1343,7.79
CHEMBL1994,308,472,6.7
CHEMBL208,539,810,7.1
CHEMBL1977,158,236,6.7
CHEMBL4179,252,391,6.75
CHEMBL2318,115,173,6.86
CHEMBL3837,721,1086,6.66
CHEMBL268,734,1111,7.48
CHEMBL3910,425,652,7.5
CHEMBL2730,158,247,6.0
CHEMBL1784,93,139,8.05
CHEMBL1985,389,595,7.36
CHEMBL2637,503,770,6.62
CHEMBL2959,352,529,7.19
CHEMBL1844,447,965,8.0
CHEMBL2148,1293,1950,7.25
CHEMBL5147,305,457,7.05
CHEMBL2815,1206,1837,7.51
CHEMBL3905,138,207,6.68
CHEMBL4128,334,500,7.09
CHEMBL4644,316,477,6.34
CHEMBL259,1039,1562,7.43
CHEMBL4077,104,163,5.68
CHEMBL1947,221,331,7.07
CHEMBL4699,97,146,5.73
CHEMBL254,260,390,7.67
CHEMBL2851,156,234,7.32
CHEMBL5137,256,386,7.33
CHEMBL2564,390,586,7.34
CHEMBL4523,967,1456,7.97
CHEMBL2611,173,263,7.7
CHEMBL4801,276,413,7.09
CHEMBL2889,82,124,5.29
CHEMBL2243,642,969,7.4
CHEMBL4191,299,452,6.79
CHEMBL1889,342,513,7.57
CHEMBL2327,368,553,8.15
CHEMBL3911,126,191,7.3
CHEMBL2850,176,267,6.73
CHEMBL3582,172,257,7.13
CHEMBL242,811,1234,7.23
